t	nsat	m	n	chi	lambda	k	timebudget
410	216865	280506	9061	1.0	410	2	5
410	217864	280506	9061	1.0	410	2	5
410	217576	280506	9061	1.0	410	2	5
410	218294	280506	9061	1.0	410	2	5
410	218343	280506	9061	1.0	410	2	5
410	217942	280506	9061	1.0	410	2	5
410	218094	280506	9061	1.0	410	2	5
410	217465	280506	9061	1.0	410	2	5
410	218477	280506	9061	1.0	410	2	5
410	217659	280506	9061	1.0	410	2	5
410	218145	280506	9061	1.0	410	2	5
410	217361	280506	9061	1.0	410	2	5
410	217432	280506	9061	1.0	410	2	5
410	217441	280506	9061	1.0	410	2	5
410	217069	280506	9061	1.0	410	2	5
410	218099	280506	9061	1.0	410	2	5
410	219361	280506	9061	1.0	410	2	5
410	217352	280506	9061	1.0	410	2	5
410	217803	280506	9061	1.0	410	2	5
410	217768	280506	9061	1.0	410	2	5
410	218832	280506	9061	1.0	410	2	5
410	217497	280506	9061	1.0	410	2	5
410	216837	280506	9061	1.0	410	2	5
410	216920	280506	9061	1.0	410	2	5
410	217190	280506	9061	1.0	410	2	5
410	217277	280506	9061	1.0	410	2	5
410	216983	280506	9061	1.0	410	2	5
410	217196	280506	9061	1.0	410	2	5
410	217749	280506	9061	1.0	410	2	5
410	217980	280506	9061	1.0	410	2	5
410	217277	280506	9061	1.0	410	2	5
410	217552	280506	9061	1.0	410	2	5
410	217147	280506	9061	1.0	410	2	5
410	218530	280506	9061	1.0	410	2	5
410	217098	280506	9061	1.0	410	2	5
410	218094	280506	9061	1.0	410	2	5
410	218923	280506	9061	1.0	410	2	5
410	217758	280506	9061	1.0	410	2	5
410	218192	280506	9061	1.0	410	2	5
410	217984	280506	9061	1.0	410	2	5
410	218027	280506	9061	1.0	410	2	5
410	218402	280506	9061	1.0	410	2	5
410	217371	280506	9061	1.0	410	2	5
410	217302	280506	9061	1.0	410	2	5
410	217406	280506	9061	1.0	410	2	5
410	218449	280506	9061	1.0	410	2	5
410	217573	280506	9061	1.0	410	2	5
410	218162	280506	9061	1.0	410	2	5
410	217195	280506	9061	1.0	410	2	5
410	217242	280506	9061	1.0	410	2	5
410	217545	280506	9061	1.0	410	2	5
410	216621	280506	9061	1.0	410	2	5
410	217710	280506	9061	1.0	410	2	5
410	218717	280506	9061	1.0	410	2	5
410	219009	280506	9061	1.0	410	2	5
410	217556	280506	9061	1.0	410	2	5
410	218232	280506	9061	1.0	410	2	5
410	217306	280506	9061	1.0	410	2	5
410	218028	280506	9061	1.0	410	2	5
410	217134	280506	9061	1.0	410	2	5
410	217520	280506	9061	1.0	410	2	5
410	217145	280506	9061	1.0	410	2	5
410	217514	280506	9061	1.0	410	2	5
410	217646	280506	9061	1.0	410	2	5
410	217448	280506	9061	1.0	410	2	5
410	216891	280506	9061	1.0	410	2	5
410	218140	280506	9061	1.0	410	2	5
410	217192	280506	9061	1.0	410	2	5
410	218510	280506	9061	1.0	410	2	5
410	217517	280506	9061	1.0	410	2	5
410	217056	280506	9061	1.0	410	2	5
410	217284	280506	9061	1.0	410	2	5
410	217474	280506	9061	1.0	410	2	5
410	217342	280506	9061	1.0	410	2	5
410	218178	280506	9061	1.0	410	2	5
410	217687	280506	9061	1.0	410	2	5
410	216731	280506	9061	1.0	410	2	5
410	217038	280506	9061	1.0	410	2	5
410	217260	280506	9061	1.0	410	2	5
410	218079	280506	9061	1.0	410	2	5
410	217792	280506	9061	1.0	410	2	5
410	217789	280506	9061	1.0	410	2	5
510	217891	280506	9061	1.0	510	2	5
510	217035	280506	9061	1.0	510	2	5
510	217085	280506	9061	1.0	510	2	5
510	216506	280506	9061	1.0	510	2	5
510	217403	280506	9061	1.0	510	2	5
510	217259	280506	9061	1.0	510	2	5
510	217986	280506	9061	1.0	510	2	5
510	217418	280506	9061	1.0	510	2	5
510	218704	280506	9061	1.0	510	2	5
510	217955	280506	9061	1.0	510	2	5
510	217977	280506	9061	1.0	510	2	5
510	217795	280506	9061	1.0	510	2	5
510	216814	280506	9061	1.0	510	2	5
510	217888	280506	9061	1.0	510	2	5
510	217946	280506	9061	1.0	510	2	5
510	217078	280506	9061	1.0	510	2	5
510	217802	280506	9061	1.0	510	2	5
510	217885	280506	9061	1.0	510	2	5
510	217903	280506	9061	1.0	510	2	5
510	216425	280506	9061	1.0	510	2	5
510	218367	280506	9061	1.0	510	2	5
510	217519	280506	9061	1.0	510	2	5
510	217263	280506	9061	1.0	510	2	5
510	218347	280506	9061	1.0	510	2	5
510	217331	280506	9061	1.0	510	2	5
510	218174	280506	9061	1.0	510	2	5
510	218179	280506	9061	1.0	510	2	5
510	217216	280506	9061	1.0	510	2	5
510	217987	280506	9061	1.0	510	2	5
510	218288	280506	9061	1.0	510	2	5
510	217184	280506	9061	1.0	510	2	5
510	217295	280506	9061	1.0	510	2	5
510	217728	280506	9061	1.0	510	2	5
510	217197	280506	9061	1.0	510	2	5
510	217807	280506	9061	1.0	510	2	5
510	218302	280506	9061	1.0	510	2	5
510	216501	280506	9061	1.0	510	2	5
510	217156	280506	9061	1.0	510	2	5
510	217217	280506	9061	1.0	510	2	5
510	217333	280506	9061	1.0	510	2	5
510	217724	280506	9061	1.0	510	2	5
510	217720	280506	9061	1.0	510	2	5
510	218656	280506	9061	1.0	510	2	5
510	218321	280506	9061	1.0	510	2	5
510	217521	280506	9061	1.0	510	2	5
510	217070	280506	9061	1.0	510	2	5
510	217366	280506	9061	1.0	510	2	5
510	218536	280506	9061	1.0	510	2	5
510	217558	280506	9061	1.0	510	2	5
510	217857	280506	9061	1.0	510	2	5
510	216895	280506	9061	1.0	510	2	5
510	218630	280506	9061	1.0	510	2	5
