n	chi	lambda	k	t	fbest
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	8	35
35	0.6	100	2	10	35
35	0.6	100	2	10	35
35	0.6	100	2	10	35
35	0.6	100	2	6	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	8	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	10	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	7	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	10	35
35	0.6	100	2	12	35
35	0.6	100	2	10	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	10	35
35	0.6	100	2	10	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	10	35
35	0.6	100	2	8	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	7	35
35	0.6	100	2	9	35
35	0.6	100	2	11	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	8	35
35	0.6	100	2	9	35
35	0.6	100	2	10	35
35	0.6	100	2	8	35
40	0.6	100	2	9	40
40	0.6	100	2	12	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	7	40
40	0.6	100	2	9	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	8	40
40	0.6	100	2	9	40
40	0.6	100	2	10	40
40	0.6	100	2	9	40
40	0.6	100	2	9	40
40	0.6	100	2	12	40
40	0.6	100	2	12	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	8	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	12	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	9	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	9	40
40	0.6	100	2	8	40
40	0.6	100	2	9	40
40	0.6	100	2	9	40
40	0.6	100	2	9	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	12	40
40	0.6	100	2	10	40
40	0.6	100	2	12	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	8	40
40	0.6	100	2	11	40
40	0.6	100	2	12	40
40	0.6	100	2	11	40
40	0.6	100	2	9	40
40	0.6	100	2	10	40
40	0.6	100	2	13	40
40	0.6	100	2	12	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	8	40
40	0.6	100	2	11	40
40	0.6	100	2	12	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	10	40
40	0.6	100	2	8	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	12	40
40	0.6	100	2	9	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	9	40
40	0.6	100	2	9	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	12	40
40	0.6	100	2	11	40
40	0.6	100	2	8	40
40	0.6	100	2	9	40
40	0.6	100	2	11	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	10	40
40	0.6	100	2	11	40
40	0.6	100	2	9	40
45	0.6	100	2	12	45
45	0.6	100	2	12	45
45	0.6	100	2	10	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	9	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	9	45
45	0.6	100	2	10	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	13	45
45	0.6	100	2	10	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	10	45
45	0.6	100	2	13	45
45	0.6	100	2	12	45
45	0.6	100	2	12	45
45	0.6	100	2	12	45
45	0.6	100	2	13	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	10	45
45	0.6	100	2	12	45
45	0.6	100	2	9	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	12	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	14	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	10	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	9	45
45	0.6	100	2	8	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	10	45
45	0.6	100	2	9	45
45	0.6	100	2	12	45
45	0.6	100	2	13	45
45	0.6	100	2	10	45
45	0.6	100	2	9	45
45	0.6	100	2	10	45
45	0.6	100	2	13	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	12	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	9	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	14	45
45	0.6	100	2	11	45
45	0.6	100	2	9	45
45	0.6	100	2	11	45
45	0.6	100	2	11	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	13	45
45	0.6	100	2	11	45
45	0.6	100	2	10	45
45	0.6	100	2	12	45
45	0.6	100	2	13	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	10	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	13	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
45	0.6	100	2	13	45
45	0.6	100	2	11	45
45	0.6	100	2	12	45
45	0.6	100	2	11	45
50	0.6	100	2	12	50
50	0.6	100	2	15	50
50	0.6	100	2	11	50
50	0.6	100	2	11	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	14	50
50	0.6	100	2	12	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	10	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	10	50
50	0.6	100	2	13	50
50	0.6	100	2	10	50
50	0.6	100	2	13	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	10	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	15	50
50	0.6	100	2	12	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	10	50
50	0.6	100	2	10	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	10	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	11	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	10	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	14	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	12	50
50	0.6	100	2	11	50
50	0.6	100	2	11	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
50	0.6	100	2	12	50
50	0.6	100	2	12	50
50	0.6	100	2	11	50
50	0.6	100	2	11	50
50	0.6	100	2	11	50
50	0.6	100	2	10	50
50	0.6	100	2	11	50
50	0.6	100	2	11	50
50	0.6	100	2	13	50
50	0.6	100	2	13	50
50	0.6	100	2	11	50
55	0.6	100	2	14	55
55	0.6	100	2	12	55
55	0.6	100	2	14	55
55	0.6	100	2	14	55
55	0.6	100	2	12	55
55	0.6	100	2	12	55
55	0.6	100	2	12	55
55	0.6	100	2	14	55
55	0.6	100	2	12	55
55	0.6	100	2	15	55
55	0.6	100	2	13	55
55	0.6	100	2	11	55
55	0.6	100	2	13	55
55	0.6	100	2	15	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	14	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	15	55
55	0.6	100	2	15	55
55	0.6	100	2	12	55
55	0.6	100	2	12	55
55	0.6	100	2	15	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	12	55
55	0.6	100	2	13	55
55	0.6	100	2	9	55
55	0.6	100	2	12	55
55	0.6	100	2	16	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	11	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	14	55
55	0.6	100	2	15	55
55	0.6	100	2	12	55
55	0.6	100	2	12	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	14	55
55	0.6	100	2	12	55
55	0.6	100	2	14	55
55	0.6	100	2	11	55
55	0.6	100	2	15	55
55	0.6	100	2	15	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	16	55
55	0.6	100	2	14	55
55	0.6	100	2	11	55
55	0.6	100	2	15	55
55	0.6	100	2	13	55
55	0.6	100	2	15	55
55	0.6	100	2	13	55
55	0.6	100	2	12	55
55	0.6	100	2	15	55
55	0.6	100	2	14	55
55	0.6	100	2	16	55
55	0.6	100	2	15	55
55	0.6	100	2	15	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	10	55
55	0.6	100	2	12	55
55	0.6	100	2	12	55
55	0.6	100	2	14	55
55	0.6	100	2	11	55
55	0.6	100	2	13	55
55	0.6	100	2	12	55
55	0.6	100	2	12	55
55	0.6	100	2	14	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	13	55
55	0.6	100	2	16	55
55	0.6	100	2	12	55
55	0.6	100	2	13	55
